用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
2400596582,ABkitchen,m,天秤座,上海,,,2011-09-16,信用较好,974,790,3231,,https://m.weibo.cn/u/2400596582?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/8f163266ly8hz8796umdej20u00u0juh.jpg?KID=imgbed,tva&Expires=1753704599&ssig=DGrEpp83rn",https://wx2.sinaimg.cn/orj480/8f163266ly8hz8796umdej20u00u0juh.jpg,28,0,False,-1,,
2570167955,snowttffmm,m,,其他,,,2012-01-10,信用极好,38790,2461,1862,,https://m.weibo.cn/u/2570167955?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/9931a693ly8h2p6560iggj20u00u0jt4.jpg?KID=imgbed,tva&Expires=1753704601&ssig=FRy6lgQ56f",https://wx1.sinaimg.cn/orj480/9931a693ly8h2p6560iggj20u00u0jt4.jpg,47,1,False,-1,,
7345532529,GOA广州户外艺术节,f,,其他,,,,,93,106,24,,https://m.weibo.cn/u/7345532529?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/008176z7ly1g9f1n419wpj30u00u0gsw.jpg?KID=imgbed,tva&Expires=1753704604&ssig=z4bGHAXX5g",https://wx4.sinaimg.cn/orj480/008176z7ly1g9f1n419wpj30u00u0gsw.jpg,0,1,True,2,广州户外艺术节官方平台 Guangzhou Outdoor Arts Festival,
5054109978,小兎金刚芭比,f,1994-04-25  金牛座,其他,,,2014-03-02,信用极好,3362,144,1216,上善若水，厚德载物,https://m.weibo.cn/u/5054109978?,"https://tvax3.sinaimg.cn/crop.0.0.812.812.180/005w2wSSly8ht5tejrkmlj30mk0mkdhm.jpg?KID=imgbed,tva&Expires=1753704607&ssig=iB7Sxsfe0q",https://wx3.sinaimg.cn/orj480/005w2wSSly8ht5tejrkmlj30mk0mkdhm.jpg,29,0,False,-1,,
7298562805,聪ZMC,m,巨蟹座,浙江 杭州,清华大学,山东省精神卫生中心,2019-09-03,信用较好,2918,1143,77,招聘模特1800-4000有兴趣私,https://m.weibo.cn/u/7298562805?,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.180/007XW1AVly8gqjt4vxxidj30ru0rumz4.jpg?KID=imgbed,tva&Expires=1753704613&ssig=0x2t3QX6lN",https://wx1.sinaimg.cn/orj480/007XW1AVly8gqjt4vxxidj30ru0rumz4.jpg,3,6,False,-1,,
3948271134,指尖的默默,m,1991-06-10  双子座,湖南 怀化,,,2013-12-17,信用较好,5388,105,238,懒,https://m.weibo.cn/u/3948271134?,"https://tvax4.sinaimg.cn/crop.0.0.750.750.180/eb55d61ely8fukl3d65v1j20ku0kuwf0.jpg?KID=imgbed,tva&Expires=1753704616&ssig=gshTc5JLU6",https://wx4.sinaimg.cn/orj480/eb55d61ely8fukl3d65v1j20ku0kuwf0.jpg,39,6,False,-1,,
6354046425,Aslae-3-,f,2021-12-23  摩羯座,上海,,,2017-08-29,信用较好,16181,30,3436,zzZZ,https://m.weibo.cn/u/6354046425?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/006W0VJLly8hwgoswy8r7j30u00u00tt.jpg?KID=imgbed,tva&Expires=1753704618&ssig=cbOsC5ok4B",https://wx1.sinaimg.cn/orj480/006W0VJLly8hwgoswy8r7j30u00u00tt.jpg,9,1,False,-1,,
7091750711,重度好吃症患者,m,2004-08-04  狮子座,广东 韶关,重庆大学,,2019-04-21,信用较好,1040,50,601,顺我者昌逆我者亡 能面刺寡人之过者 处极刑        镇魂,https://m.weibo.cn/u/7091750711?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/007JWgjZly8hwpbbufmmpj30u00u040b.jpg?KID=imgbed,tva&Expires=1753704620&ssig=GSt3BfjqlN",https://wx4.sinaimg.cn/orj480/007JWgjZly8hwpbbufmmpj30u00u040b.jpg,9,1,False,-1,,
6304657615,文化管理员秘书,m,1946-06-14  双子座,海外,,,2017-07-02,信用较好,61,805,43,黑丝文化馆,https://m.weibo.cn/u/6304657615?,"https://tvax3.sinaimg.cn/crop.0.0.750.750.180/006SFHs3ly8gmpnb667nrj30ku0ku3zm.jpg?KID=imgbed,tva&Expires=1753704622&ssig=%2FhuMPIii78",https://wx3.sinaimg.cn/orj480/006SFHs3ly8gmpnb667nrj30ku0ku3zm.jpg,0,2,False,-1,,
3701428422,Yolanda霏霏,f,1999-02-26  双鱼座,陕西 西安,北京协和医学院,,2013-08-06,信用较好,482,237,739,困倦医学生➕圆脸小模特❤️  忙碌的同时也别忘了快乐生活啊🙆,https://m.weibo.cn/u/3701428422?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/dc9f50c6ly8h0yq4tporlj20u00u0gp0.jpg?KID=imgbed,tva&Expires=1753704625&ssig=Gxz0NiwCYo",https://wx1.sinaimg.cn/orj480/dc9f50c6ly8h0yq4tporlj20u00u0gp0.jpg,9,0,False,-1,,
