用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
7724216179,清醒gift,f,天秤座,其他,,,2021-11-27,信用较好,2316,6,600,冲动型选手,https://m.weibo.cn/u/7724216179?,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/008qK1tVly8hwxgt0hbjaj30go0gowgy.jpg?KID=imgbed,tva&Expires=1753735445&ssig=tyjBd3TJsj",https://wx4.sinaimg.cn/orj480/008qK1tVly8hwxgt0hbjaj30go0gowgy.jpg,0,1,False,-1,,
6036173339,看见我请叫我滚去背单词-,m,天秤座,四川 成都,,,2016-10-03,信用较好,269,117,375,,https://m.weibo.cn/u/6036173339?,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006Avaqvly8gdnyyujekgj30e80e8js0.jpg?KID=imgbed,tva&Expires=1753735447&ssig=z2gfD9Ppgx",https://wx3.sinaimg.cn/orj480/006Avaqvly8gdnyyujekgj30e80e8js0.jpg,9,0,False,-1,,
2131390373,嘟嘟麻麻来分享,f,1990-02-23  双鱼座,其他,,,2011-05-13,信用较好,11183,74000,38,宝妈一枚，分享好物。,https://m.weibo.cn/u/2131390373?,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/7f0a6fa5jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1753735448&ssig=Ad2pwtFeOT",https://ww1.sinaimg.cn/orj480/7f0a6fa5jw1e8qgp5bmzyj2050050aa8.jpg,25,0,False,220,,
2667884775,守望__平凡的世界,m,水瓶座,北京 通州区,,中国,2012-03-17,信用较好,413,228,159,抱最大希望，尽最大努力，做最坏打算，持最好心态，年年好运。,https://m.weibo.cn/u/2667884775?,"https://tvax1.sinaimg.cn/crop.0.0.600.600.180/9f04b0e7ly8hpnn75x8j8j20go0gomyy.jpg?KID=imgbed,tva&Expires=1753735450&ssig=pO1JHbdwOm",https://wx1.sinaimg.cn/orj480/9f04b0e7ly8hpnn75x8j8j20go0gomyy.jpg,9,1,False,-1,,
3094785510,兰色的鶁灵,f,,安徽 黄山,,,2012-12-26,信用较好,13,3,94,,https://m.weibo.cn/u/3094785510?,"https://tvax1.sinaimg.cn/crop.0.0.90.90.180/b876ade6ly8ghhi6zdkfkj202i02i742.jpg?KID=imgbed,tva&Expires=1753735452&ssig=BlYB3izueC",https://wx1.sinaimg.cn/orj480/b876ade6ly8ghhi6zdkfkj202i02i742.jpg,2,0,False,-1,,
6589791875,CamoCollective,m,1997-11-23  射手座,海外 英国,,Camo Collective,2018-07-03,信用较好,342,1072,109,视觉艺术创作团队  3X3专业组优秀奖 Hiii Illustration最佳作品奖 合作请私信  胃电：CamoCollective IG:camo_cloudstudio,https://m.weibo.cn/u/6589791875?,"https://tvax4.sinaimg.cn/crop.0.0.844.844.180/007bY5TJly8gz0kz4ubzwj30ng0ngdjs.jpg?KID=imgbed,tva&Expires=1753735456&ssig=8JozCRywOq",https://wx4.sinaimg.cn/orj480/007bY5TJly8gz0kz4ubzwj30ng0ngdjs.jpg,7,5,False,-1,,
7492179691,柠檬西柚可乐冰,f,巨蟹座,海外 卢森堡,,,2020-08-16,信用较好,1033,20,117,Eat the rude.,https://m.weibo.cn/u/7492179691?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/008b2qbVly8hmnmk0gbtkj30e80e8weq.jpg?KID=imgbed,tva&Expires=1753735458&ssig=OjZgFyBn1N",https://wx4.sinaimg.cn/orj480/008b2qbVly8hmnmk0gbtkj30e80e8weq.jpg,0,5,False,-1,,
2519537344,Aa李大仙,f,1990-04-12  白羊座,安徽 芜湖,北京外国语学院,芜湖,2012-09-21,信用较好,881,353,87,属于我的Darry  Ring,https://m.weibo.cn/u/2519537344?,"https://tvax2.sinaimg.cn/crop.0.0.1125.1125.180/962d16c0ly8fw9e2sa95bj20v90v9dhs.jpg?KID=imgbed,tva&Expires=1753735460&ssig=71NNoAQVss",https://wx2.sinaimg.cn/orj480/962d16c0ly8fw9e2sa95bj20v90v9dhs.jpg,29,4,False,-1,,
7526995250,satsuuki1,f,2000-12-13  射手座,湖北,,,2020-11-22,信用较好,2822,37,644,长大是件无人生还的事情，而我是无数个我中，唯一幸存的我。,https://m.weibo.cn/u/7526995250?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/008dovjcly8hwysuwemhpj30u00u0afn.jpg?KID=imgbed,tva&Expires=1753735463&ssig=O65gZhUU0t",https://wx1.sinaimg.cn/orj480/008dovjcly8hwysuwemhpj30u00u0afn.jpg,0,1,False,-1,,
5632761073,间歇性上网冲浪,f,1990-07-27  狮子座,其他,,,2015-06-15,信用较好,877,28,80,,https://m.weibo.cn/u/5632761073?,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/0069cut3ly8gqoafi318mj30e80e80t0.jpg?KID=imgbed,tva&Expires=1753735465&ssig=QC3a1LFviu",https://wx2.sinaimg.cn/orj480/0069cut3ly8gqoafi318mj30e80e80t0.jpg,9,0,False,-1,,
1652314697,Bill的左右之间,m,,北京 朝阳区,,,2009-10-08,信用较好,25,241,218,THE WOLF.,https://m.weibo.cn/u/1652314697?,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/627c5249ly8h37yjw65ycj20e80e80tu.jpg?KID=imgbed,tva&Expires=1753735468&ssig=wywOAr7dX3",https://wx3.sinaimg.cn/orj480/627c5249ly8h37yjw65ycj20e80e80tu.jpg,22,0,False,-1,,
1766187042,西嗔xx,f,,浙江 温州,,,2011-06-16,信用较好,2390,48,0,pray,https://m.weibo.cn/u/1766187042?,"https://tvax1.sinaimg.cn/crop.0.0.340.340.180/6945e022ly8hfssxch211j209g09g3yu.jpg?KID=imgbed,tva&Expires=1753735470&ssig=zxLg48IPdO",https://wx1.sinaimg.cn/orj480/6945e022ly8hfssxch211j209g09g3yu.jpg,14,2,False,-1,,
6692996628,慢嗦嗦丷,m,1995-05-20  金牛座,青海 玉树,北京印刷学院康庄校区,,2018-09-10,信用较好,883,1083,398,人生是花，而爱便是花的蜜。,https://m.weibo.cn/u/6692996628?,"https://tvax4.sinaimg.cn/crop.0.0.750.750.180/007iX8awly8ge09nayaumj30ku0kut9e.jpg?KID=imgbed,tva&Expires=1753735472&ssig=2QrduBlCr3",https://wx4.sinaimg.cn/orj480/007iX8awly8ge09nayaumj30ku0kut9e.jpg,10,0,False,-1,,
7431209710,Bonjourlalune_,f,1999-09-25  天秤座,陕西,,,2020-04-06,信用较好,307,14,259,💤💤,https://m.weibo.cn/u/7431209710?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/0086UB78ly8hrwr12vsl0j30u00u0gny.jpg?KID=imgbed,tva&Expires=1753735474&ssig=%2B7Dz3Oy8zj",https://wx2.sinaimg.cn/orj480/0086UB78ly8hrwr12vsl0j30u00u0gny.jpg,0,1,False,-1,,
5414680563,我开心就好mua,f,,其他,,,2014-12-14,信用较好,9246,177,416,别管,https://m.weibo.cn/u/5414680563?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/005UrrLtly8ho99mo9hooj30u00u0tah.jpg?KID=imgbed,tva&Expires=1753735475&ssig=xa7DvZ9vnk",https://wx1.sinaimg.cn/orj480/005UrrLtly8ho99mo9hooj30u00u0tah.jpg,9,1,False,-1,,
3597639144,猫咪不经意,f,1993-08-27  处女座,浙江 杭州,,,2013-07-14,信用较好,632,174,286,halo⋯馒头妹妹,https://m.weibo.cn/u/3597639144?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/d66f9de8ly8hxv5btbvbyj20u00u0tb6.jpg?KID=imgbed,tva&Expires=1753735479&ssig=eYVfP3Z2gU",https://wx2.sinaimg.cn/orj480/d66f9de8ly8hxv5btbvbyj20u00u0tb6.jpg,24,0,False,-1,,
7114337787,水扑扑,m,1998-12-27  摩羯座,湖北,,,2019-05-03,信用极好,42,1225,238,这雨量不及我眼里万分之一,https://m.weibo.cn/u/7114337787?,"https://tvax2.sinaimg.cn/crop.0.0.828.828.180/007Lt2fFly8ggfew7nu21j30n00n0dgm.jpg?KID=imgbed,tva&Expires=1753735481&ssig=sdRPgdXDTB",https://wx2.sinaimg.cn/orj480/007Lt2fFly8ggfew7nu21j30n00n0dgm.jpg,14,4,False,-1,,
