用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
5406642296,邹依-Zoe,f,2018-03-19  双鱼座,广东 深圳,,,2014-12-09,信用较好,1520,1250,21,等风来 不如追风去🌈,https://m.weibo.cn/u/5406642296?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/005TTIE0ly8hmzzokmflsj30u00u0q76.jpg?KID=imgbed,tva&Expires=1753696920&ssig=8Xg%2BH5E866",https://wx3.sinaimg.cn/orj480/005TTIE0ly8hmzzokmflsj30u00u0q76.jpg,14,3,False,-1,,
3796449075,青丘小狐狸怀中的一壶桃花酒,f,1998-09-11  处女座,广东 广州,未知,,2013-09-14,信用较好,19069,368,2266,pluto,https://m.weibo.cn/u/3796449075?,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/e2493733ly8hdq7plwb5zj20go0gowgc.jpg?KID=imgbed,tva&Expires=1753696922&ssig=dTq6uLgFyV",https://wx4.sinaimg.cn/orj480/e2493733ly8hdq7plwb5zj20go0gowgc.jpg,31,2,False,-1,,
5579895551,青椒炒盐-,f,巨蟹座,上海,,,2015-04-04,信用较好,13183,3613,535,爱我所爱 念我所念,https://m.weibo.cn/u/5579895551?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/0065CFJlly8gzzyw3juygj30u00u0423.jpg?KID=imgbed,tva&Expires=1753696924&ssig=d%2FF1k93xrx",https://wx1.sinaimg.cn/orj480/0065CFJlly8gzzyw3juygj30u00u0423.jpg,24,6,True,0,娱乐博主,
2386592654,妮妮与小曼的美国代购,f,1989-12-30  摩羯座,海外 美国,,,2011-09-10,信用较好,20885,44000,1207,Wechat：elliemann，备注微博😁,https://m.weibo.cn/u/2386592654?,"https://tva3.sinaimg.cn/crop.0.0.512.512.180/8e40838ejw8etedic8u7zj20e80e8t8x.jpg?KID=imgbed,tva&Expires=1753696926&ssig=Ebl5Vt%2B349",https://ww3.sinaimg.cn/orj480/8e40838ejw8etedic8u7zj20e80e8t8x.jpg,36,0,False,-1,,
2193869400,个人D微博,m,射手座,广东 广州,,,2011-06-25,信用较好,2227,17000,732,基层技术管理人员,https://m.weibo.cn/u/2193869400?,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/82c3ca58jw8fa08j4qrf6j2050050q2w.jpg?KID=imgbed,tva&Expires=1753696927&ssig=R5IjqbHMru",https://ww2.sinaimg.cn/orj480/82c3ca58jw8fa08j4qrf6j2050050q2w.jpg,24,0,False,-1,,
6067848547,MSHXONGSHOU,f,,海外,,,2016-11-19,信用较好,1319,15,644,在肚书,https://m.weibo.cn/u/6067848547?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006CE4AXly8hrfq58fe34j30u00u074w.jpg?KID=imgbed,tva&Expires=1753696934&ssig=KhMkh2uEVH",https://wx4.sinaimg.cn/orj480/006CE4AXly8hrfq58fe34j30u00u074w.jpg,9,0,False,-1,,
5372878870,医信妇儿频道,m,,广东 深圳,,,,,2688,2418,153,医信妇儿频道是一个面向妇产科、儿科、妇女保健、儿童保健医生的医学信息类服务平台，为忙碌的医生甄选优质的学术期刊文献、指南，跟进最新的研究进展，提供专业的学术资讯和医学人文轶事。,https://m.weibo.cn/u/5372878870?,"https://tva3.sinaimg.cn/crop.115.0.832.832.180/005RC3eCjw1enbxq29glej30ti0n4dib.jpg?KID=imgbed,tva&Expires=1753696935&ssig=msAOoWW81v",https://ww3.sinaimg.cn/orj480/005RC3eCjw1enbxq29glej30ti0n4dib.jpg,9,0,True,2,深圳市医信科技有限公司,
2443358507,王文康康康康,m,2012-12-15  射手座,湖北 武汉,,,2011-11-03,信用较好,2304,334,1143,,https://m.weibo.cn/u/2443358507?,"https://tva3.sinaimg.cn/crop.1.0.638.638.180/91a2b12bjw8ec91kg475kj20hs0hqjsx.jpg?KID=imgbed,tva&Expires=1753696937&ssig=zoA4NgZmWF",https://ww3.sinaimg.cn/orj480/91a2b12bjw8ec91kg475kj20hs0hqjsx.jpg,22,0,False,-1,,
6982272609,安然篮球,m,天蝎座,辽宁 沈阳,沈阳大学,,2019-02-02,信用一般,531,643,1420,你有你的清欢渡，我的我的不归路,https://m.weibo.cn/u/6982272609?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/007CwU49ly8g6xxaamo58j30u00u0jti.jpg?KID=imgbed,tva&Expires=1753696939&ssig=PixRRsOBDX",https://wx4.sinaimg.cn/orj480/007CwU49ly8g6xxaamo58j30u00u0jti.jpg,6,1,False,-1,,
6286926000,用户6286926000,m,,山东 济南,,,2017-06-24,信用较好,2890,189,511,,https://m.weibo.cn/u/6286926000?,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_180.gif?KID=imgbed,tva&Expires=1753696940&ssig=KBCiA1q6mP",https://ss1.sinaimg.cn/orj480/default_avatar_male_180&690,4,0,False,-1,,
