用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
5558759130,简艾今天运动了吗,f,1972-10-23  天秤座,广东 广州,,延瑞堂,2015-03-16,信用较好,1555,132,609,,https://m.weibo.cn/u/5558759130?,"https://tvax4.sinaimg.cn/crop.0.0.749.749.180/0064bZbkly8ffit60icidj30ku0ktdgk.jpg?KID=imgbed,tva&Expires=1753959464&ssig=4adguNw3g2",https://wx4.sinaimg.cn/orj480/0064bZbkly8ffit60icidj30ku0ktdgk.jpg,9,5,False,-1,,
7670338238,法之瑞,m,1992-08-13  狮子座,上海,,,2021-08-13,信用一般,819,1545,87,律所法律搬砖工。,https://m.weibo.cn/u/7670338238?,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/008n5XmSly8gtf75nllyaj30ro0roabs.jpg?KID=imgbed,tva&Expires=1753959466&ssig=zdAuIx8XK3",https://wx3.sinaimg.cn/orj480/008n5XmSly8gtf75nllyaj30ro0roabs.jpg,0,1,False,-1,,
6317020529,JM_OverPower,m,射手座,海外 美国,,Over Power Production,2017-08-04,信用一般,106,11000,157,Story teller,https://m.weibo.cn/u/6317020529?,"https://tvax1.sinaimg.cn/crop.0.175.900.900.180/006TvzBTly8gdxakn1dauj30u0190444.jpg?KID=imgbed,tva&Expires=1753959468&ssig=g8EAC4iMt0",https://wx1.sinaimg.cn/orj480/006TvzBTly8gdxakn1dauj30u0190444.jpg,9,4,False,-1,,
5242458077,Virgo_九姑娘,f,,北京,,,2014-08-05,信用较好,399,106,222,,https://m.weibo.cn/u/5242458077?,"https://tva1.sinaimg.cn/crop.0.0.398.398.180/005IMOPrjw1es9d8k219aj30b60b4tah.jpg?KID=imgbed,tva&Expires=1753959470&ssig=mKIsRpmdfS",https://ww1.sinaimg.cn/orj480/005IMOPrjw1es9d8k219aj30b60b4tah.jpg,9,0,False,-1,,
1247074620,彭彭小屋,f,,辽宁 葫芦岛,,,2010-06-09,信用较好,10605,248,1094,,https://m.weibo.cn/u/1247074620?,"https://tvax2.sinaimg.cn/crop.0.0.892.892.180/4a54d93cly8hy9n446444j20os0ostcm.jpg?KID=imgbed,tva&Expires=1753959472&ssig=JCnVMtEgu7",https://wx2.sinaimg.cn/orj480/4a54d93cly8hy9n446444j20os0ostcm.jpg,34,0,False,-1,,
5460558540,RainLove320417,f,2000-07-22  巨蟹座,广东 湛江,,,2015-01-03,信用极好,11114,295,1428,Nothing But PerthSaint🖤❤️,https://m.weibo.cn/u/5460558540?,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/005XxWIQly8gp2bwlpeluj30ro0roacs.jpg?KID=imgbed,tva&Expires=1753959475&ssig=vle6gy7lY5",https://wx2.sinaimg.cn/orj480/005XxWIQly8gp2bwlpeluj30ro0roacs.jpg,29,5,False,-1,,
5248449478,llllIlllllllI,m,狮子座,其他,,,2015-02-04,信用较好,9824,309,195,幸福大王,https://m.weibo.cn/u/5248449478?,"https://tvax3.sinaimg.cn/crop.0.0.990.990.180/005JbXsWly8hb5t3l2fhmj30ri0riq4z.jpg?KID=imgbed,tva&Expires=1753959477&ssig=JG26CSFj4Z",https://wx3.sinaimg.cn/orj480/005JbXsWly8hb5t3l2fhmj30ri0riq4z.jpg,39,1,False,-1,,
6835959405,才未来,m,,其他,,,2018-11-10,信用较好,1601,8111,9847,敬过往、爱当下、向未来,https://m.weibo.cn/u/6835959405?,"https://tvax3.sinaimg.cn/crop.0.0.500.500.180/007sCZjLly8i2nsef5zt3j30dw0dwdgl.jpg?KID=imgbed,tva&Expires=1753959479&ssig=ADYO68z%2BDS",https://wx3.sinaimg.cn/orj480/007sCZjLly8i2nsef5zt3j30dw0dwdgl.jpg,4,1,True,0,中级软件设计师,
3184343857,巫啦啦巫啦啦,f,,陕西 西安,,,2012-12-12,信用极好,103,111,195,🍓🍊🍒,https://m.weibo.cn/u/3184343857?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/bdcd3b31ly8gdd309z8utj20e80e83zx.jpg?KID=imgbed,tva&Expires=1753959481&ssig=YOzDqUoCbh",https://wx4.sinaimg.cn/orj480/bdcd3b31ly8gdd309z8utj20e80e83zx.jpg,29,0,False,-1,,
5345232790,萧萧35509,m,,其他,,,2014-10-28,信用较好,655,8,400,,https://m.weibo.cn/u/5345232790?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/005PK3e6ly8h19jyl1cjzj30u00u0dhv.jpg?KID=imgbed,tva&Expires=1753959483&ssig=es24VY9pXp",https://wx4.sinaimg.cn/orj480/005PK3e6ly8h19jyl1cjzj30u00u0dhv.jpg,0,4,False,-1,,
