用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
6591645574,_小道子_,f,,山西,,,2018-07-04,信用较好,40,2,5,,https://m.weibo.cn/u/6591645574?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/007c5S86ly8gniiunnaehj30e80e874q.jpg?KID=imgbed,tva&Expires=1754046401&ssig=qpOsJ7dSME",https://wx4.sinaimg.cn/orj480/007c5S86ly8gniiunnaehj30e80e874q.jpg,3,0,False,-1,,
1776177885,沐浴幸福微薄,m,射手座,广东 深圳,,,2010-07-15,信用较好,695,65,107,沐浴阳光 享受亲情爱情 享受生活珍惜今天 展望明天,https://m.weibo.cn/u/1776177885?,"https://tva4.sinaimg.cn/crop.0.0.180.180.180/69de52ddjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1754046403&ssig=9C1N0TeeKH",https://ww4.sinaimg.cn/orj480/69de52ddjw1e8qgp5bmzyj2050050aa8.jpg,21,0,False,-1,,
7227509830,一只在修炼的汤圆,f,2005-10-13  天秤座,湖北,,,2019-07-10,信用一般,42,9,36,了解真相，寻找正真的答案，不被约束，做个最好的自己,https://m.weibo.cn/u/7227509830?,"https://tvax3.sinaimg.cn/crop.0.357.681.681.180/007T7Ttcly8gem7d7mecpj30j60y2wih.jpg?KID=imgbed,tva&Expires=1754046405&ssig=DBF64tzsDV",https://wx3.sinaimg.cn/orj480/007T7Ttcly8gem7d7mecpj30j60y2wih.jpg,0,0,False,-1,,
7493236839,mozi猪,f,2000-12-05  射手座,其他,,,2020-08-20,信用较好,935,17,613,听听看心跳在卜卜卜,https://m.weibo.cn/u/7493236839?,"https://tvax1.sinaimg.cn/crop.0.0.960.960.180/008b6RcHly8he0sul2es0j30qo0qon14.jpg?KID=imgbed,tva&Expires=1754046407&ssig=UlP1kJ%2BSr%2F",https://wx1.sinaimg.cn/orj480/008b6RcHly8he0sul2es0j30qo0qon14.jpg,0,0,False,-1,,
5619103338,润物细无声1711,m,,江苏,,,2015-05-27,信用较好,2270,454,264,不停的学习,https://m.weibo.cn/u/5619103338?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/0068hbt0ly8fsafohr6snj30e80e83yr.jpg?KID=imgbed,tva&Expires=1754046409&ssig=gcdsbqvUw8",https://wx4.sinaimg.cn/orj480/0068hbt0ly8fsafohr6snj30e80e83yr.jpg,9,1,False,-1,,
3504018477,辽宁省图书馆,m,,辽宁 沈阳,,,,,3764,14000,56,,https://m.weibo.cn/u/3504018477?,"https://tva3.sinaimg.cn/crop.0.0.1398.1398.180/d0db142dtw1e935537ivrj212x12xwj0.jpg?KID=imgbed,tva&Expires=1754046413&ssig=BzYeCc0M6l",https://ww3.sinaimg.cn/orj480/d0db142dtw1e935537ivrj212x12xwj0.jpg,9,0,True,1,辽宁省图书馆官方微博,
7164858304,A股女侠5271,f,1993-04-21  金牛座,广东,,,2019-05-27,信用较好,478,96,83,爱炒股 爱生活 真性情  不做作,https://m.weibo.cn/u/7164858304?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/007OT0WIly8g3g6n5rwstj30u00u0q61.jpg?KID=imgbed,tva&Expires=1754046415&ssig=FIITAqlXex",https://wx3.sinaimg.cn/orj480/007OT0WIly8g3g6n5rwstj30u00u0q61.jpg,9,0,False,-1,,
5782242356,Tiamo想成为更好的自己,f,,重庆,,,2015-12-05,信用较好,782,3503,315,🇺🇸纽约大学 | 19 Fall MPH | 医学僧 | 有一个自己的生活美学馆 || 想要站起来发光✨,https://m.weibo.cn/u/5782242356?,"https://tvax1.sinaimg.cn/crop.0.0.828.828.180/006jjHnuly8fzs7vkgws8j30n00n0taz.jpg?KID=imgbed,tva&Expires=1754046417&ssig=lpR3ueMfb%2B",https://wx1.sinaimg.cn/orj480/006jjHnuly8fzs7vkgws8j30n00n0taz.jpg,34,6,False,-1,,
3216556864,洲峰电子,m,,安徽,,,,,946,152,95,"安徽洲峰电子科技有限公司是一家集团化、多产业的高科技技术企业。公司以北斗卫星定位为基础,以智能位置信息为依托,以交通应用服务为核心,主抓交通运输营运车辆数据,以大数据为基础打造“大数据、宽平台、优服务”的品牌战略。公司目前重心放在&quot;大数据+交通&quot;产业致力于”北斗车辆动态监管服务平台”和”交通运输企业安全教育服务监管平台”两大平台的打造与运营。 未来，洲峰电子将以大数据为基础,以金融为杠杆,以整合提升价值,以集采降低成本,与所有物流人一起携手并进,共同助力构建大交通、大安全的和谐局面!",https://m.weibo.cn/u/3216556864?,"https://tva3.sinaimg.cn/crop.0.0.179.179.180/bfb8c340tw1ehc8mgmenjj2050050dfr.jpg?KID=imgbed,tva&Expires=1754046420&ssig=GLfp%2Fnr5ad",https://ww3.sinaimg.cn/orj480/bfb8c340tw1ehc8mgmenjj2050050dfr.jpg,9,0,True,2,安徽洲峰电子科技有限公司,
6269315811,AAA好运连连万事胜意,f,天蝎座,其他,,,2017-06-01,信用较好,216,906,174,已婚且超幸福哒,https://m.weibo.cn/u/6269315811?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/006QhpqXly8i2pcu3y77ej30u00u00uz.jpg?KID=imgbed,tva&Expires=1754046422&ssig=UKY3H3sMp0",https://wx3.sinaimg.cn/orj480/006QhpqXly8i2pcu3y77ej30u00u00uz.jpg,0,0,False,-1,,
