用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
2211921541,雨墨小荷,f,,其他,,,2011-07-01,信用较好,8397,116,332,墙头众多，遍布各圈，杂食党无所畏惧,https://m.weibo.cn/u/2211921541?,"https://tva3.sinaimg.cn/crop.67.0.405.405.180/83d73e85jw8e8wumev6s9j20f00b9761.jpg?KID=imgbed,tva&Expires=1753698593&ssig=fYFIxVC%2Fbo",https://ww3.sinaimg.cn/orj480/83d73e85jw8e8wumev6s9j20f00b9761.jpg,9,0,False,-1,,
6128999291,QWE社,m,2009-06-11  双子座,内蒙古 包头,包头市第一实验小学,,2017-02-10,信用较好,42,26,35,一个不正经的科普号~,https://m.weibo.cn/u/6128999291?,"https://tvax2.sinaimg.cn/crop.0.0.664.664.180/006GMEHhly8grwvloxhzaj30ig0ihmx4.jpg?KID=imgbed,tva&Expires=1753698595&ssig=%2FtGNuP9jUd",https://wx2.sinaimg.cn/orj480/006GMEHhly8grwvloxhzaj30ig0ihmx4.jpg,4,1,False,-1,,
6759013233,圈圈清流,m,,其他,,,2018-10-10,信用较好,74,8,218,yy号,https://m.weibo.cn/u/6759013233?,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/007nq86tly8hkvm4kf9jnj30e80e80ts.jpg?KID=imgbed,tva&Expires=1753698597&ssig=QBbsvEWcER",https://wx1.sinaimg.cn/orj480/007nq86tly8hkvm4kf9jnj30e80e80ts.jpg,4,0,False,-1,,
5193888703,高洋小跟班,m,2019-05-20  金牛座,广西,,,2014-06-26,信用极好,1709,12000,687,幸福的秘诀是 拥有一束花时 只在意一束花,https://m.weibo.cn/u/5193888703?,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/005Fv1Irly8hwt9zzs5mpj30e80e83z9.jpg?KID=imgbed,tva&Expires=1753698599&ssig=K8%2Fs9MvWP4",https://wx2.sinaimg.cn/orj480/005Fv1Irly8hwt9zzs5mpj30e80e83z9.jpg,25,4,False,-1,,
7330161506,韩三三爱运动,f,金牛座,北京,,,2019-10-30,信用较好,3972,9988000,142,喜欢各类运动的黑皮girl,https://m.weibo.cn/u/7330161506?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/00804BRoly8i1h777pxgtj30u00u0n04.jpg?KID=imgbed,tva&Expires=1753698600&ssig=qupfHthC9%2F",https://wx2.sinaimg.cn/orj480/00804BRoly8i1h777pxgtj30u00u0n04.jpg,0,1,True,0,家居博主,
6296169469,宛宛615,f,,黑龙江,,,2017-06-24,信用较好,177,17,46,宝妈一枚,https://m.weibo.cn/u/6296169469?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/006S65itly8hcvoawakghj30u00u0qaq.jpg?KID=imgbed,tva&Expires=1753698602&ssig=%2F1%2BmMHkmGZ",https://wx2.sinaimg.cn/orj480/006S65itly8hcvoawakghj30u00u0qaq.jpg,4,0,False,-1,,
6756403441,卡码拍小,m,1998-03-29  白羊座,湖北,,,2018-10-11,信用较好,1237,110,249,可能的，可以的，真的可惜了。,https://m.weibo.cn/u/6756403441?,"https://tvax4.sinaimg.cn/crop.0.0.996.996.180/007nfbb3ly8gizjl0x2boj30ro0rotb6.jpg?KID=imgbed,tva&Expires=1753698604&ssig=lf3%2Fo5Fol0",https://wx4.sinaimg.cn/orj480/007nfbb3ly8gizjl0x2boj30ro0rotb6.jpg,4,1,False,-1,,
5442380332,刘先生struggle,m,,河北 石家庄,,,2014-12-21,信用较好,15,25,224,,https://m.weibo.cn/u/5442380332?,"https://tva4.sinaimg.cn/crop.0.0.512.512.180/005WjFJWjw8f11bsrg9ayj30e80e8wfm.jpg?KID=imgbed,tva&Expires=1753698606&ssig=AjxoHCNCWe",https://ww4.sinaimg.cn/orj480/005WjFJWjw8f11bsrg9ayj30e80e8wfm.jpg,9,0,False,-1,,
7327487300,一千一百二十八行诗,f,狮子座,海外 美国,,,2019-10-25,信用较好,97,3,57,I wish you were here.,https://m.weibo.cn/u/7327487300?,"https://tvax1.sinaimg.cn/crop.0.0.670.670.180/007ZTob2ly8hc24qjhw8lj30im0immz8.jpg?KID=imgbed,tva&Expires=1753698607&ssig=mbZRUX7coB",https://wx1.sinaimg.cn/orj480/007ZTob2ly8hc24qjhw8lj30im0immz8.jpg,0,0,False,-1,,
5118476258,淡淡的清晰的香味,m,,北京 东城区,,,2014-04-20,信用较好,1104,178,63,呵呵,https://m.weibo.cn/u/5118476258?,"https://tva2.sinaimg.cn/crop.350.0.900.900.180/005AoBuGjw8efmdt5kagbj318g0p0ah8.jpg?KID=imgbed,tva&Expires=1753698609&ssig=CslbF%2B89wS",https://ww2.sinaimg.cn/orj480/005AoBuGjw8efmdt5kagbj318g0p0ah8.jpg,9,0,False,-1,,
