用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息,上次记录微博信息
5375792144,CelloetAspirine,f,,浙江 宁波,杭州师范大学,,2014-11-17,信用较好,1613,266,1132,深深的话要浅浅地说，长长的路要挥霍地走。,https://m.weibo.cn/u/5375792144?,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/005ROh6Uly8h2aheqj39sj30e80e8jrz.jpg?KID=imgbed,tva&Expires=1754084263&ssig=g80OwTWThZ",https://wx3.sinaimg.cn/orj480/005ROh6Uly8h2aheqj39sj30e80e8jrz.jpg,26,0,False,-1,,
3656113813,没有人比本小明更爱粉面菜蛋,f,1994-09-25  天秤座,海外,,,2013-11-28,信用极好,12480,146,256,istj  头像是我妈咪、动漫版秦时祖龙梦女,https://m.weibo.cn/u/3656113813?,"https://tvax1.sinaimg.cn/crop.0.0.964.964.180/d9ebde95ly8hu6sf3w5nfj20qs0qswg7.jpg?KID=imgbed,tva&Expires=1754084265&ssig=tlFX635e%2B%2F",https://wx1.sinaimg.cn/orj480/d9ebde95ly8hu6sf3w5nfj20qs0qswg7.jpg,40,8,False,-1,,
5242685742,Tqiie,f,2002-01-22  水瓶座,其他,,,2014-08-06,信用较好,64,100,33,失败女人第一步，期待男人回消息,https://m.weibo.cn/u/5242685742?,"https://tvax2.sinaimg.cn/crop.0.0.960.960.180/005INM3sly8hlzi7a35gcj30qo0qo757.jpg?KID=imgbed,tva&Expires=1754084267&ssig=WVrxz%2BHHWd",https://wx2.sinaimg.cn/orj480/005INM3sly8hlzi7a35gcj30qo0qo757.jpg,9,2,False,-1,,
3681880270,独家播报,m,1991-06-19  双子座,北京 丰台区,北京商学院,,2013-08-16,信用较好,258,370,174,微信公众号：独家播报。 专业研究市场行情，行业分析，板块及个股研究。,https://m.weibo.cn/u/3681880270?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/db7508cely8gf4k1k7ly9j20e80e874t.jpg?KID=imgbed,tva&Expires=1754084269&ssig=yjnVI%2FY5uy",https://wx4.sinaimg.cn/orj480/db7508cely8gf4k1k7ly9j20e80e874t.jpg,9,4,False,-1,,
6056828876,我的青春有兄弟forever,m,,其他,,,2016-10-31,信用较好,1812,30,606,,https://m.weibo.cn/u/6056828876?,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/006BTPSkly8g1ammk12kvj30ro0rojsn.jpg?KID=imgbed,tva&Expires=1754084271&ssig=3BpbYukkM4",https://wx1.sinaimg.cn/orj480/006BTPSkly8g1ammk12kvj30ro0rojsn.jpg,9,0,False,-1,,
2806006172,一设二代三回,f,,上海 金山区,,,2012-05-16,信用较好,4985,119,290,,https://m.weibo.cn/u/2806006172?,"https://tvax1.sinaimg.cn/crop.0.0.751.751.180/a740419cly8g1afqebffij20kv0kv3zq.jpg?KID=imgbed,tva&Expires=1754084274&ssig=oK4GlMaBPz",https://wx1.sinaimg.cn/orj480/a740419cly8g1afqebffij20kv0kv3zq.jpg,9,0,False,-1,,
6268647350,穿夜礼服的假面,m,,广东,,,2017-06-09,信用较好,618,64,274,,https://m.weibo.cn/u/6268647350?,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/006QeBxkly8gr3nqm0zj3j30ro0roaam.jpg?KID=imgbed,tva&Expires=1754084275&ssig=vyKkTYReQ6",https://wx2.sinaimg.cn/orj480/006QeBxkly8gr3nqm0zj3j30ro0roaam.jpg,4,0,False,-1,,
5789911978,热心小侯_,f,,其他,,,2015-12-12,信用较好,354,72,50,沙沙的日记本 碎碎念,https://m.weibo.cn/u/5789911978?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/006jPSB4ly8i3cfkpy8vjj30u00u0416.jpg?KID=imgbed,tva&Expires=1754084277&ssig=O4V%2BQfpujG",https://wx2.sinaimg.cn/orj480/006jPSB4ly8i3cfkpy8vjj30u00u0416.jpg,9,1,False,-1,,
7779654009,kyo是只孤寡蛙,m,1990-04-18  白羊座,广东 广州,,,2022-08-04,信用较好,1738,52,309,中二病末日的kyo已炸，现在的我是自由的孤寡蛙,https://m.weibo.cn/u/7779654009?,"https://tvax1.sinaimg.cn/crop.0.0.720.720.180/008uuDotly8hm2p6q52wnj30k00k074m.jpg?KID=imgbed,tva&Expires=1754084279&ssig=mLSpI9zKUg",https://wx1.sinaimg.cn/orj480/008uuDotly8hm2p6q52wnj30k00k074m.jpg,0,6,False,-1,,
5856404239,moonlightseconds,f,水瓶座,海外,,,2016-02-12,信用极好,17178,26000,456,吃好养好身体好🍀☂️🐻🐱,https://m.weibo.cn/u/5856404239?,"https://tvax2.sinaimg.cn/crop.0.0.886.886.180/006okSgTly8hzy1k8d8kej30om0omdjb.jpg?KID=imgbed,tva&Expires=1754084281&ssig=rKlIgHB4Y1",https://wx2.sinaimg.cn/orj480/006okSgTly8hzy1k8d8kej30om0omdjb.jpg,9,2,True,0,娱乐博主,
